Job ID,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines,Due Time
1,8.5,9.2,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
2,8.3,7.8,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
3,1.8,7.8,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",4
4,4.0,0,"1,2,3,4,5,6,7,8,9,10",N/A,8
5,6.6,6.4,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
6,3.9,7.5,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
7,6.4,0,"1,2,3,4,5,6,7,8,9,10",N/A,4
8,9.9,1.4,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
9,3.8,0,"1,2,3,4,5,6,7,8,9,10",N/A,8
10,1.1,9.1,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
11,3.4,9.8,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",4
12,7.6,1.7,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
13,8.9,3.8,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
14,5.7,7.2,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
15,4.1,0,"1,2,3,4,5,6,7,8,9,10",N/A,4
16,2.9,0,"1,2,3,4,5,6,7,8,9,10",N/A,8
17,5.6,4.6,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",4
18,6.2,3.5,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
19,5.1,0,"1,2,3,4,5,6,7,8,9,10",N/A,8
20,7.0,9.7,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
21,2.7,7.8,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
22,4.7,0,"1,2,3,4,5,6,7,8,9,10",N/A,4
23,8.8,6.3,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",4
24,8.4,0,"1,2,3,4,5,6,7,8,9,10",N/A,4
25,7.7,9.0,"1,2,3,4,5,6,7,8,9,10","2,3,4,5,6,7,8,9,10",8
