Job ID,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines,Due Time
1,9.9,3.2,"2,5","3,4,5",10
2,3.1,9.9,"3,4,5",4,10
3,3.4,9.4,"1,3,5","2,4",10
4,2.2,9.7,"3,5",5,10
5,9.7,8.9,"2,3,5","2,4,5",10
6,2.1,9.0,"1,3,4,5","2,3",10
7,3.4,3.5,"1,2,4","2,4",10
8,9.8,0,"1,2",N/A,10
9,5.3,0,"1,2",N/A,10
10,3.7,0,"1,2",N/A,10
11,4.6,7.1,"2,3",2,5
12,5.0,1.6,"1,4","2,3,5",10
13,1.9,2.4,1,3,5
14,8.4,8.4,"1,3",,5
15,8.2,6.5,2,"4,5",10
16,9.7,4.7,3,,5
17,1.7,0,"1,2",N/A,5
18,4.7,8.9,"2,3,4,5","3,4,5",5
19,6.1,6.1,"3,5","3,4,5",5
20,6.5,0,"1,2",N/A,5
21,9.5,7.7,"2,4,5","3,4",5
22,2.9,1.9,"1,2,5","3,5",5
23,2.9,3.0,"2,4","2,3,5",5
24,7.3,6.8,"2,3,5",2,10
25,2.9,7.5,"4,5","2,3,5",5
