Job ID,Stage-1 Processing Time,Stage-2 Processing Time,Stage-1 Machines,Stage-2 Machines,Due Time
1,3.5,9.4,"1,2,3,4,5","2,3,4,5",5
2,5.6,4.6,"1,2,3,4,5","2,3,4,5",5
3,9.6,1.9,"1,2,3,4,5","2,3,4,5",5
4,10.0,6.2,"1,2,3,4,5","2,3,4,5",10
5,1.6,8.7,"1,2,3,4,5","2,3,4,5",5
6,8.2,5.7,"1,2,3,4,5","2,3,4,5",5
7,6.7,2.7,"1,2,3,4,5","2,3,4,5",10
8,6.9,1.6,"1,2,3,4,5","2,3,4,5",10
9,7.5,3.9,"1,2,3,4,5","2,3,4,5",10
10,7.4,7.5,"1,2,3,4,5","2,3,4,5",10
11,2.1,6.9,"1,2,3,4,5","2,3,4,5",10
12,4.9,7.7,"1,2,3,4,5","2,3,4,5",5
13,5.3,4.1,"1,2,3,4,5","2,3,4,5",5
14,3.6,7.4,"1,2,3,4,5","2,3,4,5",5
15,9.7,4.6,"1,2,3,4,5","2,3,4,5",5
16,4.9,4.9,"1,2,3,4,5","2,3,4,5",10
17,4.2,4.1,"1,2,3,4,5","2,3,4,5",10
18,3.4,3.9,"1,2,3,4,5","2,3,4,5",10
19,4.9,1.6,"1,2,3,4,5","2,3,4,5",10
20,5.9,2.6,"1,2,3,4,5","2,3,4,5",5
21,9.9,5.2,"1,2,3,4,5","2,3,4,5",5
22,4.3,7.9,"1,2,3,4,5","2,3,4,5",5
23,3.0,8.0,"1,2,3,4,5","2,3,4,5",5
24,8.9,8.3,"1,2,3,4,5","2,3,4,5",5
25,8.9,4.6,"1,2,3,4,5","2,3,4,5",5
